v1,v2
HAM,جهت ثبت فرم هاي تحويل رايانه و تجهيزات جانبي در سيستم جديد
SPAN,نياز به يك عدد كابل برق 4 متري
HAM,مشكل در Eorg
HAM,نصب كارت ساعت زني و راه اندازي
HAM,نصب درايور پرينتر
HAM,تغيير پسورد ورود به ويندوز
HAM,نياز به اشتراك گذاري پرينتر
HAM,تحويل يك عدد سيستم يونيت
HAM,تحويل يك عدد سيستم يونيت
SPAN,نياز به كابل برق
SPAN,نياز به يك عدد سيم جمع كن و يك عدد محافظ برق
SPAN,نياز به يك عدد سيم جمع كن و يك عدد محافظ برق
HAM,كيبورد مشكل دارد .
HAM,نياز به تعريف چاپگر
HAM,سيستم اشكال دارد
HAM,مشكل پرينت در EXtra
HAM,تغيير رمز عبور و تنظيم ويندوز و User Name
HAM,اشكال در Office
HAM,اضافه شدن به واحد چاپ در اتوماسيون
HAM,نصب نرم افزار Standard Manager
HAM,تحويل يك ست كامپيوتر
SPAN,تحويل محافظ برق چهارسوكته هلالي و سيم جمع كن
SPAN,تحويل كيبرد جديد
HAM,ايجاد سمت متصدي موازنه و تلفيق حساب ها و تنظيم ترازنامه
HAM,ايجاد سمت حسابدار ارشد حسابداري كالا
SPAN,جهت ورود اطلاعات اسكنر به سيستم جديد
HAM,نياز به نصب نرم افزار
SPAN,نياز به كابل usb جهت چاپگر
HAM,تحويل يك ست كامپيوتر
HAM,تحويل يك ست كامپيوتر
HAM,تنظيم سيستم يونيت و انجام مراحل User Limited
SPAN,نياز به يك دستگاه چاپگر 2014
SPAN,نياز به تونر 2014
HAM,سيستم مشكل دارد (ايراد مينبرد)
HAM,نصب نرم افزار Phtoshop
HAM,پرينتر 970 CXi مشكل دارد .
HAM,نياز به نصب نرم افزار
SPAN,نياز به يك دستگاه چاپگر
HAM,اشتراك گذاري و انجام عمليات Small Office
HAM,نصب و راه اندازي پرينتر 2014
SPAN,نياز به يك دستگاه چاپگر
HAM,اضافه شدن به واحد چاپ در اتوماسيون
SPAN,نياز به يك عدد پرينتر 2014
SPAN,نياز به يك عدد پرينتر 2014
HAM,اشكال در ارسال پرينت
HAM,اضافه كردن يك گروه كاري به ليست گيرندگان
HAM,نياز به يك دستگاه كامپيوتر
HAM,نياز به يك دستگاه كامپيوتر
HAM,كيبرد اشكال دارد
HAM,كيبرد اشكال دارد
SPAN,نياز به يك عدد موس دارد
SPAN,نياز به تعمير مادر بورد وتعويض پاور
HAM,ايراد در كارت ساعت زني
SPAN,نياز به تعويض تونر 1320
SPAN,نياز به تونر 1320
HAM,نياز به نصب نرم افزار
HAM,تنظيم پسورد ورود به ويندوز
HAM,نياز به نصب ديكشنري
HAM,نياز به نصب ديكشنري
HAM,سيستم مشكل دارد .
HAM,كيبرد اشكال دارد
SPAN,نياز به تونر 3020
HAM,تنظيم زبان سيستم و نصب Acrobat Reader
HAM,نياز به يك دستگاه كامپيوتر
SPAN,نياز به محافظ برق و سيم جمع كن
HAM,نياز به نصب نرم افزار
HAM,پرينتر 1320 مشكل دارد
HAM,نياز به انجام تنظيمات
SPAN,نياز به كيبرد اسپر دارد
HAM,اشكال در EORG
HAM,دكمه پاور كيس خراب است
HAM,چاپگر اشكال دارد(خ عليدادي)
SPAN,نياز به تعويض تونر 6l
HAM,كيبرد اشكال دارد
HAM,نياز به يكعدد پرينتر 2014
HAM,نياز به يك عدد پرينتر 2014
HAM,نصب درايور 2014
SPAN,نياز به يكعدد  تونر 1100
HAM,پرينتر اشكال دارد
HAM,سيبستم اشكال دارد
HAM,سيستم اشكال دارد
HAM,اشتراك گذاري پرينتر 2014
HAM,اشكال در ويرايش نامه
HAM,نصب نرم افزار
HAM,نصب نرم افزار
HAM,نصب نرم افزار
HAM,نياز به نصب نرم افزار
HAM,نياز به نصب نرم افزار
HAM,نياز به نصب نرم افزار
HAM,اشكال در سيستم
HAM,اشكال در سيستم
SPAN,رايت 2 عدد CD
SPAN,نياز به تونر 3020
HAM,نياز به نصب نرم افزار
HAM,اشكال در چاپگر
HAM,مينبرد اشكال دارد -نياز به يك عدد موس
HAM,پرينتر 1300 اشكال دارد
SPAN,نياز به رل كاربن فاكس
SPAN,تحويل labtop
SPAN,تحويل cool disk
SPAN,تحويل دوربين
HAM,اشكال در EORG
HAM,نياز به نصب نرم افزار
SPAN,نياز به يك ست سيستم
HAM,ايجاد نام كاربري در EORG
HAM,ايجاد نام كاربري در EORG
HAM,ايجاد نام كاربري در EORG
HAM,اشكال در ويندوز
HAM,اشكال در تنظيمات چاپگر
HAM,اشكال در تنظيمات چاپگر
HAM,نياز به اشتراك گذاري پرينتر 1320
SPAN,نياز به يكعدد تونر 1320
HAM,مادر بورد اشكال دارد
HAM,كيبورد اشكال دارد( نياز به يكعدد كيبورد اسپير)
HAM,نياز به نصب ويندوز وتمامي نرم افزارها
HAM,EOrg مشكل دارد .
HAM,مشكل در ورود به سيستم اتوماسيون
HAM,تغيير نام سيستم
HAM,كيبرد اشكال دارد
HAM,نياز به تعويض رمز EORG
